Савенко;Євген
Мацапура;Есфір
Дорошкевич;Живорід
Ставничий;Іван
Настенко;Сердитко
Гребенченко;Йошка
Немирович;Йозеф
Драк;Хвалибог
Овчаренко;Зиновій
Буринський;Ладо
Марков;Бративой
Бутко;Чара
Шульга;Києслав
Лук'яненко;Августин
Михальчишин;Густомисл
Барвінок;Зореслав
Гінзбург;Шарль
Вербіцький;Корнилій
Шепель;Першик
Голубець;Флор
Стефанко;Фауст
Жученко;Пилип
Сироватський;Жадан
Бідило;Йошка
Паторжинський;Чеслав
Авдієвський;Ярема
Паливода;Цвітан
Санін;Йозеф
Баранець;Рафаїл
Авратинський;Полян
Куцевол;Чесмил
Стрижеус;Зборислав
Токар;Горисвіт
Цапенко;Яснозір
Покропивний;Цвітан
Созанський;Єгор
Городнюк;Колодар
Суховерський;Звенимир
Ярина;Рід
Горовенко;Шаміль
Онацький;Щедрогост
Лазарчук;Брячислав
Процюк;Олекса
Царук;Ус
Заячківський;Радогост
Андрієвський;Честислав
Швець;Любодар
Мілян;Добродум
Запорожець;Хранимир
Яцишин;Артем
Гривко;Щастибог
Бунечко;Царук
Чуприна;Цвітан
Пушкар;Царук
Кальченко;Юліан
Пироженко;Милослав
Яснопольський;Остромов
Шиян;Арсеній
Жила;Авксентій
Потушняк;Щастибог
Охрімчук;Предислав
Ющук;Яр
Мацура;Бажан
Філь;Стефаній
Куйбіда;Держислав
Герасименко;Творислав
Клинчук;Хвала
Дичковський;Йозеф
Супруненко;Нігослав
Дроб'язко;Таросик
Малежик;Нагнибіда
Байбуза;Демид
Горбатюк;Щек
Штокалко;Євген
Коробчинський;Житомир
Мовчан;Собібор
Шпирка;Світовид
Циба;Толислав
Грушкевич;Уличан
Лисецький;Будислав
Складан;Цвітан
Чернецький;Густомисл
Батюк;Фрол
Складан;Йошка
Винар;Оремів
Булатович;Княжослав
Старицький;Хранимир
Отрощенко;Русан
Федишин;Пор
Ощипко;Іоанн
Зуб;Татомир
Білокінь;Честислав
Заброда;Йосеф
Стрельченко;Немир
Кохан;Павло
Давиденко;Густомисл
Станко;Полян
Романюк;Щастислав
Горобець;Христофор
Бобошко;Захарій
Костенецький;Йонас
Крижко;Шаміль
Коман;Назарій
Романенко;Йозеф
Андрейченко;Перемил
Самусь;Ярополк
Лончина;Гордослав
Кулиняк;Толигнів
Лукань;Царко
Мариняк;Зіновій
Безпаленко;Пребислав
Гнідичі;Уличан
Бутник;Володимир
Кобзистий;Вадим
Кулішенко;Турбрід
Давидюк;Роксолан
Королюк;Воля
Курилюк;Царук
Коровицький;Життєлюб
Багрій;Тарас
Тітаренко;Йосип
Федина;Красун
Топольницький;Бажан
Ребрик;Гранислав
Дольницький;Уличан
Степовий;Захар
Карпека;Атанас
Боженко;Щастислав
Савчин;Йоханес
Лисицький;Устим
Анищенко;Флор
Острозький;Тарослав
Щасний;Хвала
Лобода;Автоном
Максюта;Ладолюб
Трохимчук;Йошка
Коркішко;Маврикій
Мінченко;Онуфрій
Каніболоцький;Корній
Біба;Остромов
Лівицький;Голубко
Герасименко;Чернин
Дичковський;Княжослав
Сагайдачний;Кузьма
Кучеренко;Йозеф
Мордань;Колодар
Ромащенко;Олесь
Мірошниченко;Велемир
Грабович;Честислав
Опришко;Вратислав
Андрійчук;Юхим
Семашко;Азарій
Довбуш;Еммануїл
Бевзенко;Живорід
Марушевський;Нестор
Пшеничний;Юрій
